adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0000030146-23-000010	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000030146-23-000010	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000030146-23-000010	1	3	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000030162-23-000007	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000030162-23-000007	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000030162-23-000007	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000030162-23-000007	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000030162-23-000007	1	5	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000030162-23-000007	1	6	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000030162-23-000007	1	7	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000035315-23-000255	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000035315-23-000255	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000035315-23-000255	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000035315-23-000255	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000035315-23-000255	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000035315-23-000308	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000035315-23-000308	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000035315-23-000308	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000035315-23-000308	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000035315-23-000308	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000035315-23-000348	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000035315-23-000348	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000035315-23-000348	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000035315-23-000348	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000035315-23-000348	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000035315-23-000359	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000035315-23-000359	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000035315-23-000359	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000035315-23-000359	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000035315-23-000359	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000035315-23-000432	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000035315-23-000432	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000035315-23-000432	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000035315-23-000432	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000035315-23-000432	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000035373-23-000088	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000035373-23-000088	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000035373-23-000088	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000035373-23-000088	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000035373-23-000088	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000051931-23-000420	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000051931-23-000420	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000051931-23-000420	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000051931-23-000420	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000051931-23-000424	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000051931-23-000424	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000051931-23-000424	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000051931-23-000424	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000051931-23-000424	1	5	1	ExpensesOverAssets	rr/2023	AcquiredFundFeesAndExpensesOverAssets	rr/2023
0000051931-23-000424	1	6	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000051931-23-000503	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000051931-23-000503	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000051931-23-000503	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000051931-23-000503	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000051931-23-000551	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000051931-23-000551	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000051931-23-000551	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000051931-23-000551	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000053808-23-000027	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000053808-23-000027	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000053808-23-000027	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000053808-23-000027	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000053808-23-000027	1	5	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000053808-23-000027	1	6	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000053808-23-000027	1	7	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000053808-23-000029	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000053808-23-000029	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000053808-23-000029	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000053808-23-000029	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000053808-23-000029	1	5	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000061397-23-000066	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000061397-23-000066	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000061397-23-000066	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000061397-23-000066	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000061397-23-000066	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000061397-23-000108	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000061397-23-000108	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000061397-23-000108	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000061397-23-000108	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000088053-23-000181	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000181	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000181	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000181	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000181	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000182	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000182	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000182	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000182	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000182	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000220	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000220	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000220	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000220	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000220	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000226	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000226	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000226	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000226	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000226	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000227	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000227	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000227	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000227	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000227	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000228	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000228	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000228	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000228	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000228	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000229	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000229	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000229	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000229	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000229	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000231	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000231	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000231	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000231	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000231	1	5	1	ExpensesOverAssets	rr/2021	AcquiredFundFeesAndExpensesOverAssets	rr/2021
0000088053-23-000231	1	6	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000088053-23-000338	1	1	1	NetExpensesOverAssets	rr/2021	ExpensesOverAssets	rr/2021
0000088053-23-000338	1	2	1	ExpensesOverAssets	rr/2021	ManagementFeesOverAssets	rr/2021
0000088053-23-000338	1	3	1	ExpensesOverAssets	rr/2021	DistributionAndService12b1FeesOverAssets	rr/2021
0000088053-23-000338	1	4	1	ExpensesOverAssets	rr/2021	OtherExpensesOverAssets	rr/2021
0000088053-23-000338	1	5	1	NetExpensesOverAssets	rr/2021	FeeWaiverOrReimbursementOverAssets	rr/2021
0000225322-23-000041	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000225322-23-000041	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000225322-23-000041	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
