adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	fye	pdate	effdate	form	filed	accepted	instance	nciks	aciks
0000009713-23-000050	9713	PRINCIPAL LIFE INSURANCE CO SEPARATE ACCOUNT B	US	IA	DES MOINES	50392	THE PRINCIPAL FINANCIAL GROUP	711 HIGH STREET	515-247-5461	US	IA	DES MOINES	50392	THE PRINCIPAL FINANCIAL GROUP	711 HIGH STREET			420127290	PRINCIPAL MUTUAL LIFE INSURANCE COMPANY SEPARATE ACCOUNT B	19920703	1231			485BPOS	20230427	2023-04-27 16:05:00.0	ck0000009713-20230427_htm.xml	1	
0000009713-23-000052	9713	PRINCIPAL LIFE INSURANCE CO SEPARATE ACCOUNT B	US	IA	DES MOINES	50392	THE PRINCIPAL FINANCIAL GROUP	711 HIGH STREET	515-247-5461	US	IA	DES MOINES	50392	THE PRINCIPAL FINANCIAL GROUP	711 HIGH STREET			420127290	PRINCIPAL MUTUAL LIFE INSURANCE COMPANY SEPARATE ACCOUNT B	19920703	1231			485BPOS	20230427	2023-04-27 16:11:00.0	ck0000009713-20230427_htm.xml	1	
0000030146-23-000010	30146	BNY MELLON LARGE CAP SECURITIES FUND, INC.	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	NY	136021175	DREYFUS FUND INC	19920703	1231	20230501	20230501	485BPOS	20230427	2023-04-27 12:54:00.0	ck0000030146-20230426_htm.xml	1	
0000030162-23-000007	30162	BNY MELLON RESEARCH GROWTH FUND, INC.	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	NY	132641740	DREYFUS RESEARCH GROWTH FUND, INC.	20181030	0228	20230630	20230630	485BPOS	20230623	2023-06-23 14:53:00.0	ck0000030162-20230620_htm.xml	1	
0000035315-23-000255	35315	FIDELITY SALEM STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY FIXED INCOME TRUST	19920703	0430			485BPOS	20230425	2023-04-25 12:39:00.0	filing6210_htm.xml	1	
0000035315-23-000308	35315	FIDELITY SALEM STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY FIXED INCOME TRUST	19920703	0430			485BPOS	20230509	2023-05-09 16:34:00.0	filing7170_htm.xml	1	
0000035315-23-000348	35315	FIDELITY SALEM STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY FIXED INCOME TRUST	19920703	0430			485BPOS	20230519	2023-05-19 14:01:00.0	filing7398_htm.xml	1	
0000035315-23-000359	35315	FIDELITY SALEM STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY FIXED INCOME TRUST	19920703	0430			485BPOS	20230524	2023-05-24 12:21:00.0	filing6365_htm.xml	1	
0000035315-23-000432	35315	FIDELITY SALEM STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY FIXED INCOME TRUST	19920703	0430			485BPOS	20230627	2023-06-27 11:52:00.0	filing6514_htm.xml	1	
0000035348-23-000063	35348	FIDELITY HASTINGS STREET TRUST	US	MA	BOSTON	02110	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02110	245 SUMMER STREET		US	MA	000000000	FIDELITY FUND	19920703	0630			497	20230530	2023-05-30 16:17:00.0	filing6659_htm.xml	1	
0000035373-23-000088	35373	FIDELITY MUNICIPAL TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	MUNICIPAL BOND FUND/MA/	19860327	1231			485BPOS	20230519	2023-05-19 12:48:00.0	filing7400_htm.xml	1	
0000051931-23-000420	4405	AMCAP FUND	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	952482877	AMCAP FUND INC	19920703	0228	20230501	20230501	485BPOS	20230428	2023-04-28 09:29:00.0	ck0000004405-20230413_htm.xml	1	
0000051931-23-000424	729528	AMERICAN FUNDS INSURANCE SERIES	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	MA	000000000	AMERICAN FUND INSURANCE SERIES	20010829	1231	20230501	20230501	485BPOS	20230428	2023-04-28 13:05:00.0	ck0000729528-20230414_htm.xml	1	
0000051931-23-000503	719603	EUROPACIFIC GROWTH FUND	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	MA	000000000			0331	20230601	20230601	485BPOS	20230531	2023-05-31 10:35:00.0	ck0000719603-20230516_htm.xml	1	
0000051931-23-000551	104865	WASHINGTON MUTUAL INVESTORS FUND	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	IRVINE	92618	6455 IRVINE CENTER DRIVE				520793788	WASHINGTON MUTUAL INVESTORS FUND INC	19920703	0430	20230701	20230701	485BPOS	20230630	2023-06-30 13:45:00.0	ck0000104865-20230615_htm.xml	1	
0000053808-23-000027	53808	BNY MELLON INVESTMENT FUNDS III	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	MA	042694144	DREYFUS/LAUREL FUNDS TRUST	20181030	1231	20230301	20230407	497	20230407	2023-04-07 09:30:00.0	ck0000053808-20230407_htm.xml	1	
