tag	version	custom	abstract	datatype	iord	tlabel	doc
OptionalBenefitExpenseOfOtherAmountMaximumPercent	vip/2022q2	0	0	percent	D	Optional Benefit Expense (of Other Amount), Maximum [Percent]	
AnnualReturn2013	vip/2023	0	0	percent	D	Annual Return, 2013 [Percent]	
PortfolioCompanyExpensesMaximumPercent	vip/2023	0	0	percent	D	Portfolio Company Expenses Maximum [Percent]	
BrokerageExpensesOnSecuritiesSoldShort	0001580642-23-003336	1	0	NonNegativePure4Type	D	Brokerage expenses on securities sold short	
DocumentEffectiveDate	dei/2022	0	0	date	D	Document Effective Date	The date when a document, upon receipt and acceptance, becomes officially effective, in YYYY-MM-DD format. Usually it is a system-assigned date time value, but it may be declared by the submitter in some cases.
PeriodicChargesTableTextBlock	vip/2022q2	0	0	textBlock	D	Periodic Charges [Table Text Block]	
ThirtyDayYieldPhone	rr/2022	0	0	string	D	Thirty Day Yield Phone	A Fund (other than a Money Market Fund) may include the Fund's yield calculated under Item 21(b)(2). Any Fund may include its tax-equivalent yield calculated under Item 21. If a Fund's yield is included, provide a toll-free (or collect) telephone number that investors can use to obtain current yield information.
BaseContractExpenseFootnotesTextBlock	vip/2023	0	0	textBlock	D	Base Contract Expense, Footnotes [Text Block]	
AdministrativeExpenseWhenDeductedTextBlock	vip/2023	0	0	textBlock	D	Administrative Expenses, When Deducted [Text Block]	
BaseContractOfOtherAmountN4MaximumPercent	vip/2022q2	0	0	percent	D	Base Contract (of Other Amount) (N-4) Maximum [Percent]	
AnnualReturn2016	rr/2023	0	0	pure	D	Annual Return 2016	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2019	rr/2022	0	0	pure	D	Annual Return 2019	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AverageAnnualReturnYear01	rr/2022	0	0	pure	D	1 Year	Return Before Taxes.
DeferredSalesLoadOfOtherAmountCurrentPercent	vip/2022q2	0	0	percent	D	Deferred Sales Load (of Other Amount), Current [Percent]	
Wirefee	0001398344-23-007133	1	0	NonNegativeMonetaryT	D	Wire fee	
