"Property prices in housing market by prices of completed transactions,"
"time, postal code and property category"

" ";" ";" ";"Detached/terraced house";"Owner-occupied flat";"Holiday home"
"Initial listing price"
" ";"2023Q1"
" ";" ";"1000-1499 Kbh.K.";..;65459;..
" ";" ";"1500-1799 Kbh.V.";..;58808;..
" ";" ";"1800-1999 Frederiksberg C";..;64849;..
" ";" ";"2000 Frederiksberg";82984;53230;..
" ";" ";"2100 København Ø";75044;58755;..
" ";" ";"2150 Nordhavn";..;65566;..
" ";" ";"2200 København N";..;53073;..
" ";" ";"2300 København S";53104;47434;..
" ";" ";"2400 København NV";..;40909;..
" ";" ";"2450 København SV";..;48666;..
" ";" ";"2500 Valby";52087;41446;..
" ";" ";"2600 Glostrup";28454;30375;..
" ";" ";"2605 Brøndby";32417;..;..
" ";" ";"2610 Rødovre";34817;36107;..
" ";" ";"2620 Albertslund";26107;..;..
" ";" ";"2625 Vallensbæk";28859;..;..
" ";" ";"2630 Taastrup";28283;27251;..
" ";" ";"2635 Ishøj";25264;26529;..
" ";" ";"2640 Hedehusene";23364;26033;..
" ";" ";"2650 Hvidovre";34247;31925;..
" ";" ";"2660 Brøndby Strand";..;..;..
" ";" ";"2665 Vallensbæk Strand";31345;29120;..
" ";" ";"2670 Greve";25950;..;..
" ";" ";"2680 Solrød Strand";29597;..;..
" ";" ";"2690 Karlslunde";28011;..;..
" ";" ";"2700 Brønshøj";43415;35039;..
" ";" ";"2720 Vanløse";46962;41053;..
" ";" ";"2730 Herlev";31353;..;..
" ";" ";"2740 Skovlunde";31432;..;..
" ";" ";"2750 Ballerup";30350;31602;..
" ";" ";"2760 Måløv";..;..;..
" ";" ";"2765 Smørum";25398;..;..
" ";" ";"2770 Kastrup";37374;37820;..
" ";" ";"2791 Dragør";31478;..;..
" ";" ";"2800 Kgs.Lyngby";49958;42504;..
" ";" ";"2820 Gentofte";54568;38617;..
" ";" ";"2830 Virum";48189;37223;..
" ";" ";"2840 Holte";53918;39145;..
" ";" ";"2850 Nærum";..;..;..
" ";" ";"2860 Søborg";39659;35956;..
" ";" ";"2870 Dyssegård";..;35079;..
" ";" ";"2880 Bagsværd";36774;34170;..
" ";" ";"2900 Hellerup";62001;55001;..
" ";" ";"2920 Charlottenlund";70537;50791;..
" ";" ";"2930 Klampenborg";..;..;..
" ";" ";"2942 Skodsborg";..;..;..
" ";" ";"2950 Vedbæk";47242;..;..
" ";" ";"2960 Rungsted Kyst";..;..;..
" ";" ";"2970 Hørsholm";35800;36027;..
" ";" ";"2980 Kokkedal";29164;..;..
" ";" ";"2990 Nivå";..;..;..
" ";" ";"3000 Helsingør";28431;28207;..
" ";" ";"3050 Humlebæk";44190;23522;..
" ";" ";"3060 Espergærde";33464;29348;..
" ";" ";"3070 Snekkersten";..;..;..
" ";" ";"3080 Tikøb";..;..;..
" ";" ";"3100 Hornbæk";28789;..;..
" ";" ";"3120 Dronningmølle";..;..;41297
" ";" ";"3140 Ålsgårde";27883;..;..
" ";" ";"3150 Hellebæk";..;..;..
" ";" ";"3200 Helsinge";19619;..;..
" ";" ";"3210 Vejby";..;..;30385
" ";" ";"3220 Tisvildeleje";..;..;..
" ";" ";"3230 Græsted";16442;..;27319
" ";" ";"3250 Gilleleje";..;..;31869
" ";" ";"3300 Frederiksværk";16521;..;32263
" ";" ";"3310 Ølsted";..;..;20315
" ";" ";"3320 Skævinge";21873;..;..
" ";" ";"3330 Gørløse";..;..;..
" ";" ";"3360 Liseleje";..;..;..
" ";" ";"3370 Melby";..;..;23788
" ";" ";"3390 Hundested";17194;..;..
" ";" ";"3400 Hillerød";29340;30775;..
" ";" ";"3450 Allerød";33332;..;..
" ";" ";"3460 Birkerød";38307;32573;..
" ";" ";"3480 Fredensborg";28547;..;..
" ";" ";"3490 Kvistgård";..;..;..
" ";" ";"3500 Værløse";39530;..;..
" ";" ";"3520 Farum";34093;30050;..
" ";" ";"3540 Lynge";..;..;..
" ";" ";"3550 Slangerup";23920;..;..
" ";" ";"3600 Frederikssund";21915;..;..
" ";" ";"3630 Jægerspris";18047;..;15826
" ";" ";"3650 Ølstykke";25336;..;..
" ";" ";"3660 Stenløse";24688;..;..
" ";" ";"3670 Veksø Sjælland";..;..;..
" ";" ";"3700 Rønne";11545;..;..
" ";" ";"3720 Aakirkeby";6997;..;..
" ";" ";"3730 Nexø";10138;..;..
" ";" ";"3740 Svaneke";..;..;..
" ";" ";"3751 Østermarie";..;..;..
" ";" ";"3760 Gudhjem";12992;..;..
" ";" ";"3770 Allinge";10379;..;..
" ";" ";"3782 Klemensker";..;..;..
" ";" ";"3790 Hasle";8626;..;..
" ";" ";"4000 Roskilde";30132;29461;..
" ";" ";"4030 Tune";27128;..;..
" ";" ";"4040 Jyllinge";24438;..;..
" ";" ";"4050 Skibby";15680;..;21093
" ";" ";"4060 Kirke Såby";12156;..;..
" ";" ";"4070 Kirke Hyllinge";15376;..;18293
" ";" ";"4100 Ringsted";17634;..;..
" ";" ";"4130 Viby Sjælland";22033;..;..
" ";" ";"4140 Borup";22217;..;..
" ";" ";"4160 Herlufmagle";12157;..;..
" ";" ";"4171 Glumsø";..;..;..
" ";" ";"4173 Fjenneslev";..;..;..
" ";" ";"4174 Jystrup Midtsj";..;..;..
" ";" ";"4180 Sorø";18277;..;..
" ";" ";"4190 Munke Bjergby";..;..;..
" ";" ";"4200 Slagelse";14666;16448;21013
" ";" ";"4220 Korsør";9003;10649;..
" ";" ";"4230 Skælskør";10610;..;..
" ";" ";"4241 Vemmelev";..;..;..
" ";" ";"4242 Boeslunde";..;..;..
" ";" ";"4243 Rude";..;..;..
" ";" ";"4244 Agersø";0;0;0
" ";" ";"4245 Omø";0;0;0
" ";" ";"4250 Fuglebjerg";9441;..;..
" ";" ";"4261 Dalmose";..;..;..
" ";" ";"4262 Sandved";..;..;..
" ";" ";"4270 Høng";10948;..;..
" ";" ";"4281 Gørlev";9450;..;..
" ";" ";"4291 Ruds Vedby";6939;..;..
" ";" ";"4293 Dianalund";9050;..;..
" ";" ";"4295 Stenlille";8645;..;..
" ";" ";"4296 Nyrup";..;..;..
" ";" ";"4300 Holbæk";21190;..;..
" ";" ";"4305 Orø";..;0;20401
" ";" ";"4320 Lejre";20723;..;..
" ";" ";"4330 Hvalsø";19814;..;..
" ";" ";"4340 Tølløse";15094;..;..
" ";" ";"4350 Ugerløse";..;..;..
" ";" ";"4360 Kirke Eskilstrup";..;..;..
" ";" ";"4370 Store Merløse";..;..;..
" ";" ";"4390 Vipperød";..;..;..
" ";" ";"4400 Kalundborg";10952;..;..
" ";" ";"4420 Regstrup";..;..;..
" ";" ";"4440 Mørkøv";..;..;..
" ";" ";"4450 Jyderup";9722;..;..
" ";" ";"4460 Snertinge";..;..;..
" ";" ";"4470 Svebølle";..;..;..
" ";" ";"4480 Store Fuglede";..;..;..
" ";" ";"4490 Jerslev Sjælland";..;..;..
" ";" ";"4500 Nykøbing Sj";11316;..;25556
" ";" ";"4520 Svinninge";9855;..;..
" ";" ";"4532 Gislinge";..;..;..
" ";" ";"4534 Hørve";9350;..;..
" ";" ";"4540 Fårevejle";..;..;27100
